Q,A
어떤 브랜드?평상시 일상에도 입음?,나이키 슈퍼갈때
어떻게 이용해요? 남자도 이용가능?,미래동에 있는거 ?
어린이날에 실시간 대면강의인가요??,대면이구나......
어제 누가 취소한 거 반영된 건가?,그대로인듯
어제 동아리 모임 왜 한거지 ㅋㅋㅋ,몇명?
어케 된 거야?? 잘 아는 사람??,크림이 제품 검사해봤는데 이거 짭이다(무신사 특정하진않았지만 다들 눈치챔)무신사 우리가 파는건 다 정품이다 물건이 섞여들어가면서 우리꺼가 아닐거다.하면서 싸우고있음
어케 풀어야 해?쪽지로 알려주라..,루트풀어서해
언제까지여 ?? 홈페이지에 나와있나,ㅇㅇ30
얼마나 적었는지 알려 줄 수 있음?,과제가 뭐였어요???
얼추 몇시쯤 부터 가있어야 하나요?,5:30
여기 올라면 내신은 어느정도여야됨?,나는 고3때 반에서 7~10등 왔다갔다한듯
여름에도 많이 입나? 흰색계열같은거,슬렉스 겨울에입으면 안추움?
여자친구는 어떻게 만드는걸까...?,너는 못만듦
역학기 복학 해도 큰 지장 없나요?,실시간으로 망한사람 손🙋‍♀️
영상으로 제출임? 사진으로 제출임?,그니깐… 사진 촬영이랬다가 영상이랬다가.. 교수님한테 물어봐야겠다
영어 부분 참가하시는 분 있나요??,그거 다 영문과애들 외국인애들 챙겨줌 시간낭비임
예비보고서 쓴사람?? 얼마나 걸려?,1시간
예약 안하고 그냥 보건소가면 해줌?,엉 줄길면 기다릴순 있는데 예약은 안해도됨
예제2-5에 R이 왜 6cm인가요?,외경은 지름을 의미합니다. 반지름은 지름의 절반에 해당하므로 12/2 = 6cm가 되겠습니다.
오늘 12시 미적 들어가는거 자유?,ㅇㅇ 시험이 곧 수업
오늘 갑자기 대면선언해 버리시네 하,그냥 4번 빠져서 F받고 나중에 재수강 ㄱ
오늘 공설입 ㅇㅁㅇ교수님 대면인가?,강의실 어딘지 알아?
오늘 과제 혹시 어디에 올리나요??,보건교사?
오늘 너무 졸려서 난 자야겠당...,연막 안되!!!
오늘 녹강맞죠?  왜 안올라오징..,그니까요..
오늘 대면수업 가신 분 계신가요??,오늘 대면..?
오늘 안예은씨 대전 어디에 온거야?,대전 빵축제!
오늘 오지??? 몇 시부터 와 계셔,4시 반쯤?
오늘 휴강인거 낼 보강하는거임???,오늘은 휴강이고 낼 보강이란 말은 없으셨응데?
오늘도 못건졌으면 아예끝이야??..,정정기간에 주우셈
오늘학식 요구르트랑 쿠키어디...?,이틀전꺼 아님?
오명준님 이메일이 어떻게 되시지??,공지사항 읽으면 나옴 ㅋ
오믈 저녁에 술 한잔 할 사람….?,두잔
오티 못들었는데 어땠나요 ?! ㅠㅠ,"교수님 좋은분이신 것같아요팀플한다는 얘기만 았었고 정정기간 끝나면 팀  알려준다고 하셨어요 보강은 비대면으로 진행할 가능성이 높다고 하셨고, 교수님은 최대한 비대면을 원하신다고 하셨어요 그때 엄청 일찍 끝났습니다 책은 사도되고 안사도 된다고 하셨던것같아요(이건 불확실)"
오티못들어서 그런데 책 필요한가요?,과제를 책에서 내셔서 필요해요.
온돌로 놔야지 방 따듯해지는건가요?,우리집은 따뜻해짐
올해 열심히 살아보려는데 써볼사람?,3일 쓰고 그만둘듯ㅋㅋㅋ
올해 헌혈해도 시간 인정해주나요??,코로나 걸린적있으면 몇달 헌혈 못하지 않음? 그런거 때메 헌혈 애매할듯
와이파이가 59초에 끊기는게 말임?,이건 총장님의 음모다 ㄷㄷㄷㄷㄷㄷ
왜 난 데이터말고 아무것도 안되냐?,데이터만 되고 와이파이랑 컴터 인터넷 다 안되네요..
왜 내가 시키던 치킨집 다 안열었냐,치킨집 주로 월요일날 쉬던데
왜 프로젝트 점수 아직도 안나옴??,ㄱㄷ내가물어봄
외모 평범 키 큼외모 좋음 키 평범,둘중더착한사람할래
요새 샌드위치 안 해?? 학생회관쪽,며칠 전에 갔을 땐 안한다고 했어
우리 강의실만 안돼?진짜 더워죽겠너,조작 가능하지 않아?
우리 물도 수업시간에 마시지말랫나?,학대아냐?
우리 시험 주관식만 나오는거 맞지?,응 맞아!
우리 중간고사 시험기간 몇일부터야?,학교 홈페이지 대학교 학사정보 쳐서 봐
우리과에선30%정도만 사는것 같던데,mt도 안가고 딱히 입을 일 없을거 같음
우리학교 그래서 비대면 해? 안해?,6시에 문자오면 알듯
우리학교에 인천사람 보기힘드네...,오 ㅇㅈ
우선 선발 기준 아시는분 계신가요?,거리죠 뭐
원래 열자마자 주문하면 주문취소함?,걍 장사준비한다고 가게에서ㅠ안받은고
원래 오가는 대화 없이 조용한거야?,ㅇㅇ 거의 공지방임
원래 이렇게 뜨나? 이게 뭔 말이지,말 그대로잖아 260까지 지급해준다고
월평동에 있는 곳인데 여기 어때??,라섹라식하면 나오는 병원들중에 첨들어봄
유닛 얼마나 모았는지 어디서보나요?,핵심역량에서도 볼수있는데 거기는 목록만 나와있고 통합학사 개인신상조회에서 학기별로 볼수있어요!!  거기 목록에 안뜬건 아직 안들어온거에요^^
유세진 교수님 들으신 분 있나요??,교수님 수업 열심히 해주셔서 넘 좋으세요 !! 전 비대면때 수업들었는데 중간때는 한시간정도 시간주시고 주제 알려주시고 글 작성하는거였고 기말때는 객관 주관 섞인 시험 봤어요 공부 그렇게 열심히 안했는데도 성적 잘주셨었어요 ! 절평이여서 그런것도 있겠지만 ..!!
음성확인서랑 2차맞은거 보여주면됨?,결핵도
이 문제 풀 수 있는 사람 있나요?,죄송합니다. 못 풀겠습니다
이거 과제 있어? 과제 안올라왔던데,저번 실습시간 ppt에 있는 문제야!
이거 그냥 올라온 녹강만 보면 됨?,지난 학기 때는 업로드 해주시는 영상만 보면 패스 주셨어요!
이거 넣어놓고 과사에 전화해야겠찌?,철회허가 나도 이러닝에서 삭제는 안 되는건가요?
이거 다 외운 사람이 있긴 있냐…?,걍 ㅈ된듯 이거 재수강할 자신도 없어 ㅅㅂ
이거 멘티는 성적 따로 안보나요??,작년엔 3.0이하로 알았는데 올해는 공고에 아무내용이 없네요
이거 사람이 외울 수 있긴 한거임?,설마 ㅁㅎㅈ 교수님?
이거 성적장학금인가요? 9분위입니다,9분위 국장 10만원입니다
이거 해결하는 방법 아는사람...?,재부팅
이것도 익명이지만 익명아닌 그것임?,누구는 맞다하고 누구는 아니라고하고 ㅋㅋ 그냥 난 솔직히 적음
이력서에 작성하게 되어있나요..??,?입상이상부터써야지
이마트 있는덴 BLT 1관꺼라는데?,보통 1층에 관리실 번호 붙여놓지않앙?
이번달 씨엔시티 전기세 얼마나왔어?,15000 에어컨 많이켜서
이번에도 받을까 ? ㅋㅋㅋㅋㅋㅋㅋㅋ,농구?ㅋㅋㅋㅋ
이번주 수업때 어떤거 하셨나요..?,오티 하심
이해가 안되는데 이해 좀 시켜주세요,한 학기에 진설1이랑 진설2 같이 못 듣는다는 말인가요?
인도로 다니는 오토바이들 신고가능?,번호판찍어서 신고하면 가능하지않나
인화동 있길래 고민중인데 비싸려나?,인화가 제일싼데
일단 난 아니야얘들아 내가 깔아줄게,오전반임?
일욜도 열어요ㅜㅜ? 열었으면좋겠는뎅,일요일에 연다그랬어요!
일정은 어디 가면 알 수 있나요??,학교 보건소에 물어봐봐
입대일이랑 시험기간이랑 겹치면 어캄,입대를 미루거나 휴학을 해야지
입문용 재즈 베이스 뭐가 괜찮나요?,데임?
있다는 소리는 들었는데 어디있나요?,편의점 4층 말하시는건가?
있어요?? 오늘 보낼까 고민중인데…,ㄴㄴ 정정 때 ㄱ ㄱ
있으면 어디나옴? 구라말고 진지하게,기밀부대이긴한데
ㅈㄱㄴ 이번 방학때도 발열 뽑으려나,12월 초에
자율과제 제출 어디로 하면 되나요?,제출 안하지 않나요..?
자차 장만 VS 자취 뭐가 나음??,통학거리 왕복2시간이상이면 자취
작문과제 분량 없었나요???? ㅠㅠ,정해진건 없는 걸로 알고있는데 혹시 주제 뭔지 아시나요? ㅠ
잘 못들어서 선거 인데 수업하나요?,안알려줄래
잭다니엘허니 먹어본사람그거 맛있음?,그냥 쥰내 독하고 달아.. 차라리 그냥 잭콕을 해마시고 만다 ㄹㅇ..
저 뭐 하나만 여쭤봐도 될까요?ㅜㅜ,통보세 그건가요?
저 잘 못하는데 붙을수있을까요 …?,ㅇㅇ 졸업 다 해줌
저녁7시 이후에도 여는 곳 있나요?,무인복사집있어요
저는 좀 어려웠어요 특히마지막장..,고딩 시험 다시보는거같앴음...어렵다
적은거야? 많은거야? 적당한거야??,난 1주년때 선물로 15정도 썼음
전 뒤늦게 먹었는데 어떠신가요???,야스다 카나에 교수님? 괜찮은 것 같은데
전기공학관 002왔는데 아무도 없음,114로 바뀜
전달사항이 뭘까용??궁금하게하네ㅋㅋ,점호 언제하죵 과제하고 씻고싶은데..
전부 25ml넘게 적정들어갔나요??,걍 가라치게요
전산정보원 연락왔어? 나만안오나..,나도안왓엉..
전선 심선인데 하....ㅠㅠㅠㅠㅠㅠ,전필이면 몰라도 어려울 듯..
전선 하나빼고 다들어야 졸업되나요?,ㅇㅇ 그럴걸
전에 탁구동아리 모집하는거는 봤는데,탁구 칠거면 같이 칠래? 나 내 라켓은 있는데
전쟁하나 조사해서 3쪽 채우는거야?,전쟁 3개!
전투모 없는데 베레모 들고가야하녀?,어차피 가면 전투모 쓰니깐 별로 상관 없을것 같은데
전형료라고 입금 됐는데 이거 머임?,오 그렇네
전화기 중에서 4.3 넘으시는 분?,정확히 그 절반인 2.1입니다만
정권바뀌어도 안끝날 수 있는거지..,정권이랑 상관없이 내년 대선끝나면 그만할거같음 지금 ㅁㅈㅇ부인이 백신연구투자 명예회장?인걸로 아는데 일단 ㅁㅈㅇ임기만 끝나면 방역패스는 한풀 꺾일듯
정수기에 물 떠갖고 끓여먹기 가능?,엥 맨날 그렇게 먹는데
정원 1명 있는거 내일 가능하려나?,지금하면 되지
정해진 시간표에 맞춰서 봐야하나요?,ㅋㅋㅋㅋㅋㅋㄴㄴ 기간 따로 정해줌 그때까지만 보면 됨
제가 뭘 해줘야 위로가될까요??..,혹시 남친이세요?
제목 뭐라고 해서 보내는게 좋아??,난 학번이라 이름써서 보냈어
제발 ㅜㅜ 이거 빼고 다 썼는데..,하 ㅇㅈ ㅠㅜ
제어공학1 문제도 시험에 나올라나?,??시험 오늘 봤잖아요?
조건에 안되는 것도 아닌데 왜..ㅠ,선착에서 밀린거
족보있으신분 없나요..? 사례할게여,어떻게 사례할건데요?
졸업관리란 다 뒤져봐도 왜 안보이지,나도 못 찾음 간다고 안챙겨주나
주기적으로 연락하는 사람 몇명???,3명?
주름 있든 없든 사용해도 무방한가?,어차피 주름개선 효과 ㅈ도 없는거임
중간 레포트 있다는데 이거 안하나?,누가그래? 없는거같은데 교수도 안내줫잖어!! 나도 그거듣는데 안보임 공지사항
중간고사 목요일 2시 시작맞나요??,혹시 어디서 보는지 아시나요..?
중간고사 점수 몇점이 만점인가요??,35점만점이에여
중간고사 평균 아는 사람 있나요??,90몇이래
중국어과 선배님들 답변 부탁드려요!,높은거죠!
지금 씻는 거 나만 이해 안 되냐?,1시까지는 이해가능
지금 장바구니 못 들어가보지?...,기간 지난 지가 언젠데
지금 학기초라서 사람 많은거겠지??,사람 많음?
지금 혼자 쓸 수 있는 방은 없지?,추가모집됐어?
지금까지 연락 안오면 안된 거겠죠?,맘비우는게 편하죠
지금까지 연락 없으면 떨어진거예요?,ㄴㄴ 나 방금 면접전화옴
지금까지 온 사람들 정리된거 있나?,작년 십센치 한요한 그레이 자메즈가 젤 유명한듯?? 로꼬 우원재는 그레이랑 친해서 잠깐 와줬고
진로설계 2학년때 들어두 되나요…?,신청하기 빡셀텐데..?
진로설계 이거 교양이야? 전공이야?,둘다 아니야!
진짜 러시아가 뚝딱 먹어버리네 ㅋㅋ,베를린도 먹었는데 키예프 정도야
진짜 이거보고 내 가슴이 끓어올랐다,최신화 쿠키끊고 따라가는중
질문 드리고 싶은 게 있습니다 ㅠㅠ,뭔데용
쩍!!!!!벌!!!! 해? 가오야?,편하니까
쫄린다 프리스타일 잘 할수 있을까?,ㅋㅋ 나도 쫄린다
찍어서 셤 못 보면 어캐되는 거임?,시험을 못보게 되는거임
첫 수업때 오티해서 일찍 끝나나요?,오티없을텐데
첫수업 풀강하냐? ㅅㅈㅁ 교수님인데,미적은거의
총장상 받는 사람은 문자 다른가요?,나도 이거 궁금하네
총점이 70후반이면 C나오나요..?,씨쁠이요
최대한 맞춰주신거죠? 아니면 억까?,ㅋ
최예나 내일 몇 시 정도에 올까요?,6시반쯤? 올거 같은데요
출석한번 안하면 몇점 까이는거야??,10%16
치즈스노윙vs야채스노윙 추천뭐시킴?,야채
커뮤니티실이나 체력단련실도 포함임?,엥 그런게 있움? 우리 통금생김?
컴퓨터실로가나요 1층으로가나요...,603
코로나걸리면 몇일차가 제일 아파요?,경험으로는 2~3일 쨰가 제일 목이 아팠어
코로나검사 했는데 어디에 제출해??,긱사에연락해봐야할거같아
타코야끼 몇시부터와..? 요일은 ?,랜덤아닌?
탁구 밷민 테니스 수강신청 빡센가?,교양은 다 빡신듯 이상한거 빼면
태블릿에 필기한 거 내면 안되긋지?,? 나태블릿으로 써서내는데
토목 2학년 대면인거 뭐 뭐있나요?,유체역학
통합학사에 안뜨는데 다른 방법있어?,오늘 오후까지 안뜨면 강의계획서 교수님 이메일이나 수강신청때 과목 옆에 번호로 연락해봐! 사이버 한밭 공지도 잘보고!
퇴실하려는데 청소는 나눠서 해야되나,눈치싸움이지 뭐
트라이부터 하는건데 고정들어올사람?,딜러한자리 1520 데헌 1500 워로드 1475 홀나 토요일에 고정할듯
팀플 심각하게 많음? 개큰일낫다..,하는게 엄청 많음
팀플이던데 같이 하실 분 계신가요?,조 선택 가능한가요?
평균60점중에 70점이면   b지?,b~b+??
폰이랑 컴터 두개로 접속 가능하지?,ㄴㄴ 찾아보셈
프린트 할 수 있는 곳 어디있나요?,프린트카페 24시간
피곤하면 하품이랑 콧물 질질 나오네,콧물은 안나던데
피에스타가니까 피파 화면 끊기더라;,우리집
필수 교양 c맞으면 미래가 없나요?,보통 필수교양c맞은애가 전공도 망치더라구요
하루 자휴때리면 a는 날라가는거임?,2결석 하고도 에이플 받아봄
하루에 평균 몇 시간 보는거 같아?,스크린타임으로 보니 한 세시간 반
학겨 근처에 탈콥 가능한 피방 있?,피방까지가서 탈콥을하노....
학교 정문까지 걸어서 몇 분 걸림?,함 걸어봐 10분 이상임
학교 주변에 그네 탈 곳 없워..?,박그네
학교 축제하나요? 하면 언제해요??,내냔
학교안가지? 비대면수업도 안하지??,녹강은 그대로 올려줄걸
학교에 21학번 남자 생각보다 없네,당연히 1학년마치고 바로가는게 국룰이니깐
학교에서주는장학금보통얼마나걸리나요?,성적장학금은 등록금 고지서 나올때 감면돼서 나오는걸로 알고 있습니다
학굔데 같이 밥 먹을 사람 있냐?!,여자면 먹어준다
학생이 쓸 수 있는 화장실 있나요?,똥은 자유롭게 싸야지
학생회비 환불 받으신 분 있나요??,죽어도 안해줌
학점 3.5면 어떻게 되는고에요??,뭘물어보고싶은고에요?
학점 4.44면 받을 수 있어???,확정아님?
학점 평균 낮아서 안될까봐 걱정된다,개많이함 ㅋㅋ 본진털림
학점은 전공18 교양3 총 21점임,빡세긴할건데 하기 나름이지
한 학기에 한 번만 볼 수 있나요?,1년에 2번으로 알고있음
한밭대 건축학(공학)도 유명하다던데,전화기컴행
한밭대 에타는 약간 아싸 쪽인가??,어느학교든 어느커뮤니티를 하든 다 아싸임
한밭대 휴학 3번 연속 안되나요??,ㅇㅇ 연속으론 1년이 한계일거임군휴학이나 뭐 몸아픈거아니면
한밭대: 내가 너 좋아하면 안되냐?,비굴해
한번 빠졌다고 성적에 불이익 있음?,ㄴㄴㄴ ㄱㅊㄱㅊ
한번 쓰고 차액 나중에 사용가능해?,한번에다써야합니다
한번이라도 결석하면 많이 까이나여?,아님
한잔만 마셔도 토쏠리는데 정상임??,술찌 인생 확정이지 머...
할게 없어ㅠㅠ 다들 뭐해..?ㅠㅠㅠ,겜행
해본사람!! 어디가 좋아? 추천해줘,나도 봉사 들어갈까 생각중인데!
해본사람이나 뭔지 아는사람 댓글좀.,ㅅㅊㅈ
헤헤~ 나도 당연히 2번 찍었지!!,게이야....
헬스말고 할만한 운동 뭐 있을까??,배드민턴
현충원역 가려면 어디로 가야하나요?,ㅍㅍ
혹시 ena 너희 몇 번이야...?,울집은 93번인가 암튼 ENA사이트가면 몇번인지 공지나옴
혹시 전자과 있으면 뭐하는지 알려줘,나 홍쌤 다니는중
혹시 책재고 잇는지 물어볼수잇나요?,무슨무슨 책주세요 하면 주는거 아님?
혹시 팔찌 습득하신분 있나요? ㅠㅠ,은색 맞나요?
혹시 학사경고 기준학점이 몇인가요?,f 3개 or 1.5 이한가 잘 모르겠넹
혼자 발표? 조원 다 발표?인가요?,혼자인거 같은데
홍영준교수님 수업 책사는게 좋아요?,사라고하셨어요
확정 언제떴어? 보통 얼마나 걸려?,혹시 떴어??
훈련 어떤거 하고 오셨어요 올해엔?,그냥 가서 조짜서 훈련 하란거 하면 됌
휴강 아니야?? 누가 여쭤봐줄 사람,휴강맞을걸 사이버한밭에 올려주신다 하셨어
휴학할때 필요한 서류같은거 있나요?,난 입영통지서 스캔해서 올림 학교 안가고
흙수저라 국장전액이긴한데 걍 궁금함,백분위 아니고 학점기준임
흰색보내면 빠꾸야? 무조건 검정인가,흰색은 안에 다 비침
1 정문근처 2 서래근처 3 긱사근처,공대는 닥 1
10시 넘어서 어케 들어오는거임???,그러게 궁금하다
12시 수업인데 안 들어가지는데ㅠㅠㅠ,? 지금 실강중인데..?
13주차 녹강 아직 안 올라온 거지?,저번주 문자 보니까 다음주까지 천천히~ 라고 되어있는걸 보니 이번주는 쉬라고 하신듯..?
1500원짜리 밥만 사러가도 주려나?,"차라리 햇반을 사,,"
15일 일요일이니 13일에 들어오나?,에휴
17장까지로 기억하는데 가물가물하네요,우리 18장 안배웠어
1교시하고 2교시 수업 같지 않아요?,네. 그런 것 같은데 혹시 연락해보셨나요?
20일날 가는 사람도 오늘 검사 함?,엥 아닐걸
21은 무조건 C라고 보면 되지?ㅠㅠ,기말에따라 다르지 근데 진짜 평균28임?? 총점 몇 점임??
23분째 대기뜨면 딴거 알아봐야하나;,전공이면 몇시간 뒤에 확정 주는 경우도 있음
24도 정도로 반나절은 트는거 같은디,바닥 난방은 생각보다 얼마 안할걸요? 오히려 뜨거운 물로 오래샤워 하는게 더 오래 나온걸로 기억해요~! 그리고 웬만하면 초과 안되니까 따뜻하게 지내세요~
24살 편입생 혼자가도 놀수 있을까?,가시면 안됩니다
2년 뒤에 전공책이 바껴있을까요..?,재수강안할거면 상관없어요
2시간동안 나랑 짐은 어디에 가있어?,ㅋㅋㅋㅋㅋㅋㅋ그러게?
2인실 쓰는데 이동 ㄱㄴ? 추금 내고,ㄴㄴ 자리다찼ㅇ음
2차 보고서 꼭 조 만들어서 해야돼?,? 개인별 제출 아님?
2층말고 나머지엔 충전하는곳 업겟지?,1층 컴퓨터 있는곳 책상마다 콘센트 있어
3.99인데 4라고 생각해두 괜찮아?,아니 3.99는 4가 될수 없어
"3-16,17 질문도 해야할까...?",3-15까지아니야?
34.5 학점 듣는 거 너무 적음??,1학년+비대면 때 최대한 많이 듣는게 좋다고 생각함
3매가 나와버리면 줄여야하는게 맞죠?,그치..이상이란 말 안붙어있음 줄여야해
3시간 이상을 6개 들어야 되는거야?,1과목당 0.5시간 이수 될걸요!
3학년 2학기때 다 들을수 있나요??,수강신청만 되면 들을수있어
4/18 00시 노래방 가능 한가요?,그건 사장님 맘 아냐?
4개월 정도 지났는데 먹어도 되려나?,ㄴㄴㄴ 면이 밀가루라서 상함
4학년 4.2 성적장학금 가능하려나?,ㅆㄱㄴ이요
6개월계약도 됨?? 아님 기본1년임?,임대인한테 직접 문의해야 알 수 있어.
6전공 3.75인데 불가능이겠지..?,아슬아슬할듯
6전공이 힘들어요 6교양이 힘들어요?,6전골
8.4까지였는데 시작 부분을 모르겠어,5장이었던거같은데
88점 b+ 이의제기 A 가능할까요?,음 … 89도 어려운데
8월 졸업자도 졸업복 빌려주나..!?,학위복 대여해주지
a4용지 한장 반이면 2쪽임 3쪽임?,3쪽
C+ C0 는 무조건 재수강해야돼??,안해도 안죽음
C0면 재수강해야됨?? 필수적으로??,"필수같은건 없음 난 D+부터 재수강함, 본인 기준세우고 그 학점아래면 재수강하셈"
community 맞나요? 왜 안되지,요새 안돼!
E1이라는데...어딘지 모르겠어...,https://ric.hanbat.ac.kr/main/editor/editor.php?mid=11&no=16
f나온거 삭제요청 안하면 어캐되나여?,다시재수강 해야죠 뭐
F받으신 분들 성적이 어떠셨나요….?,처참했겠죠
GPA 성적은 따로 계산해야하나요??,성적증명서 떼면 백분위 나오는 게 gpa입니다.
h-can 어디서 보는지 모르겠네ㅠㅠ,개인실적등록 확인해봐
n4에있는 대강당이었나? 기억이안나네,n4 밖에 1층
pcr검사했을때 양성이라고 나올까??,ㅇㅇ 나와
ㄱㄴㄱ 교수님 다 수업 들어가져???,"난,,ㄴㄴ"
ㄱㅁㅎ 교수님 시험 많이 어려운가여?,쉬웡
가능?? 금연표시없으면 펴도 되는건가,기본적으로 재떨이 있지 않음??
강우진교수님 내일은 수업 있는거야??,예압
강의실에 아무도 없는데 이거 몰카임?,줌으로 하자너..
강의평가에 절대평가라는데 맞나요..?,원래 상대평가인데 교수님이 바꾸셨어요
개학을  맞이해서  열심히 할라하는뎁,언제언제?
객관식.. 맞겠지? 잘찍으면 백점이다,나도 객관이라길래 하나도 안함 ㅋㅋㅋㅋ
걍 당일에 가서 장소에 대기까면됨??,공연 도서관 앞에서함
걍 별생각 없어?아니면 좀 꺼림직해?,메이플스토리하는구나
거기 기본 2인분부터 시킬 수 있어?,ㅇㅇ… 근데 별로야
거리두기 끝났는데예지관 24시간 함?,공지를 봐앙~
걸어서는... 어림도 없으려나...?,걸어서는 좀..? 강의실 찾아가는 시간도 있자나
검색해두 안나오면 개설안한건가요???,개설강좌조회로 가셔서 2학기 개설인지 확인해봐야죠
겁나 빨리 끝나겠지? 선착순이니까..,그거 주변에 성공한사람 못봄
계산버리고 합격한사람있음?절대불가인가,일단 기계공은 불가
계절에 들으려하는데학점 잘주시나요??,어차피 1학년 미적은 웹어사인+시험이라 어느 교수든 비슷할걸요
고민하는사이에 문 닫아버림 이거맞음?,한밭대 맘터 2호점 기원
공대 1학년 학점 3.75 괜찮나요?,공부를 한것도아니구 안한것도 아닌 그런점수야
공식너무 버거워요.. 저만 그런가요?,다 외워야하는건가요??
과목 바꿀사람 있니?내가 일반생물학임,나 주면 안되냐 나 필요한데
과목 출결 온라인에서 확인할수있나요?,비대면 강의면?
과제 5(2)하고 6주까지 였을까요?,맞을걸요
과제대체말고 시험난 교양3개 전공1개,전공5개
광고배너 그거 이름 뭔지 아는사람??,피클플러스같아!!
교내 서점 이용시간이 어떻게 되나요?,8시부터 20시까지용
교수님이 줌수업하시는데 그러시네..?,..? 그럴리가
교수님한테 확잇 문자 안보내도되나??,보냈어 ?
교양 야간만 뜨는데 왜 그런가요..?,저도..
교외장학금 되면 성적장학금 못 받아?,별개
교재 필수이죠? r로 배우는 3판..,주황색?
구경하는사람들이 소리지르는거 문화임?,우리학교 춤추는거?
군 휴학 통합학사에서 하는거 맞나요?,야스
군대 전역했는데 복학 신청 어케해용?,과사에 물어보세요^^
군대가기전에 해보고 싶은데 눈치보여요,뭐 어때요 남눈치보지마세요
군휴학 하려면 증빙서류? 내야하나요?,네 영장이요
굳이 공지 안 해놨으면 필수 아니지?,공지안해도 키라는 교수 있던데
궁금해 하기 시져요 일케는 안 하잖아,솔직하게
그 과제가 내일 판결나는건가요 야발?,그런말씀하셨나요?
그거 표에 나온거 등수대로 인거에요?,계산 오타난거겠지?
그냥 교재 달달 외우는건 안되겠지??,교수님 성함 뭐에요? 제가 들었던 교수님 수업 시험은 교재만 달달 외워도 A+ 받을 수 있었어요
그냥 물 적시고 그냥 생으로 밀지??,물을 왜..?
그냥 왼쪽팔 근육이 심한것 정도???,오 난 오늘 맞았는데 1차때처럼 엄청 졸리기만해
그냥 원래 강의실에서 하는거 맞아??,아니에요 206호에서 한대요
그냥 한주 수업 못들은채로 가는거임?,학교왈 내알빠아님
그냥 해봤는데 돼서 엄마 줄꺼임 ㅎㅎ,올ㅋ
그냥 환불양식으로 메일보내면 되는겨?,입사포기서써서 보내면 된데
그러면 학교 가기 너무 싫을것 같은데,너가 보는 나무들 벚꽃 나무임
그럼 교양으로는 안 들어가는 거죠??,일반 학점
그렇게 알고 있었는데 갑자기 헷갈리네,ㅇㅇ 맞음
근로 다 끝나고 작성하면 되는건가요?,미리해도 상관없어요
근로 면접 질문 머머있어? 다 다른가,언제 일할 수있냐고
글들어오지말고 지나가주세요~ 킹아 ~,게이야..
글로벌한국학 하는 칭규덜 있니 ㅠㅠ?,한국어음운론 좀 들어줘 ㅠㅠ...~!
급하게 잡았는데 괜찮나? ㄱㅈㅇ교수님,시험문제 개같이나오지만 괜찮
기공 과사 이메일 어디서 확인하나요?,집에서
기공실강의 듣는데 속터져뒤지겠노 ㅋㅋ,정역학 듣는데 지옥이네요
기말 점수 저만 0점 인건가요..??,? 오늘 시험봤는데 그게 벌써 나와.?
기말시험안본사람다들 성적 어케됐어요?,안본사람이있어..?
기숙사 사는데 어디에 버려야 합니까?,국물만 있다면 본인 화장실 변기에 버리고 찌꺼기 같은게 있다싶으면 인재동인경우 취사실 음쓰통에 버리거나 긱사 식당 뒤쪽에 음쓰 버리는곳 있으니 참고
기숙사 올 1학기도 2인실 혼자쓰나?,작년 여름학기부터 2인실 2명이었음
기초미적 시험 대충 몇 문제 나와요?,한 17문제정도??
기초통계학 공학설계입문 나만 대기임?,학과에서 승인해주니까 기다리셈
꼭 3월 2일까진 들어가야하는겨..?,그때 키를 주니까 ㅇㅇ 아님 키만 받고 나중에들어가도 됨
나 서울사는데 몇시에 일어나야 되는겨,학생예비군은 무조건 유성구
나 앞쳐뒷쳐앞쳐뒷쳐(앞뒤앞뒤앞뒤앞뒤),뒤집어라 엎어라
나는 걍 담배피는거 밖에없는데 궁금해,돈 씀
나는 안켜짐 층바층임? 동바동임?대체,성실동 안나옴
나만 안됨? 아예 연결이 안되는데??,나도 ㅠㅠㅠㅠㅠ
나만 안들어가져? 계속 오류뜨던데..,걔 맨날 그러더라
나한테 보내내...번호가 같은 건가?,잘가라..
난 고민중인데 수업은 못따라갈거같은뎅,진짜 시험 어케볼까싶다 어떻게 다외움
난 왜 베란다 문까지 열려있는거지..,그럼 소독된건가보네 나도 베란다 문 열려있었음
난방 언제 켜줌?ㄹㅇ 얼어뒤질거같은데,ㄹㅇ 밥 정도는 따뜻하게 먹고싶은데
난이도? 평균 몇점 정도 나올거같아?,80
날씨를 모르겠다 패딩 입으면 더우려나,덥진않을듯
날짜 어디서 알 수 있나요??시간이랑,기초과학부 공지 안보나요?
내 몸에는 M이 맞는데 L 사도 되나,아우터는 한치수 큰게 적당함
내 방만 이렇게 얼음장인거임...?ㅜ,거기 원래 좀 그래요.. ㅠㅜㅜㅠ
내가 모르는 중간 점수도 알고 계심?,당연한거를
내가 예민한거겠지? 다들 그러려니해?,조금하고 멈추면 괜찮은데 계속하면 개패고싶음
내년 전역인데 복학하면 왕따당하나요?,가기전에도 따였으면 갔다와도 따겠지 ㅇㅇ...
내일 수업 안하겠져..? 당연히..?,전기과?
내일 시험인데 오늘 강의 있었나해서요,"ㄴㄴ? 그래서 수업에서 미리 3문제 13, 14강 포함하는 문제로 푼듯?"
내일 영상으로 대체 맞는거지? 불안행,교수님 초성만 적으니까 왜케 귀여우심?ㅋ 전혀 아니신... 크흠
내일 왜 구글 클래스룸으로 하는거임?,내일??
