Q,A
시급이 어떻게 되나요..? 최저?!,최저인데 하는일이라곤 앉아있기뿐
신청서 꽉 채워서 쓰는 게 좋겠지?,차피 인맥있어야 뽑혀서 의미없음
아직도 정원의 5%~10%도 안됨?,에타가 세상의 전부일거같노 ㅋㅋ
아침에 먹을건데 맥모닝 외 별론가?,10시까지는 맥모닝밖에 안 팔아
얼추 몇시쯤 부터 가있어야 하나요?,5:30
역학기 복학 해도 큰 지장 없나요?,실시간으로 망한사람 손🙋‍♀️
오티못들어서 그런데 책 필요한가요?,과제를 책에서 내셔서 필요해요.
자차 장만 VS 자취 뭐가 나음??,통학거리 왕복2시간이상이면 자취
전화기 중에서 4.3 넘으시는 분?,정확히 그 절반인 2.1입니다만
졸업관리란 다 뒤져봐도 왜 안보이지,나도 못 찾음 간다고 안챙겨주나
진짜 러시아가 뚝딱 먹어버리네 ㅋㅋ,베를린도 먹었는데 키예프 정도야
탁구 밷민 테니스 수강신청 빡센가?,교양은 다 빡신듯 이상한거 빼면
해본사람!! 어디가 좋아? 추천해줘,나도 봉사 들어갈까 생각중인데!
3.99인데 4라고 생각해두 괜찮아?,아니 3.99는 4가 될수 없어
가능?? 금연표시없으면 펴도 되는건가,기본적으로 재떨이 있지 않음??
시험기간대비 기숙사 임시개방 안하나?,기숙사 자리 많아서 안열어주는듯
어제 비와이 7시 후반에 왔던것같은데,동아리 공연들 있어서 늦게 올듯
일주일 벼락치기 조져야되는데 꿀팁있너,이틀안자봤는데 사람이 할짓이아님
진짜로..? 난 왜 들은적이 없지..,물리랑 미적은 항상 그래왔거든요
컴터수업들있을때 노트북 들고가야도ㅑ?,컴퓨터 들거가야지 수업 안듣게?
하루 수업 2개여도 1일로 치는건가?,우리학교에 생리공결이 있었어…?
해외연수 기간동안 같이 다닐 사람 ㅠ,나도 가고싶다… ㅠ 놓쳐서 못감
sf로보는 미래 수강하셨던분계신가요…?,혹시 읽기자료 어떻게 하셧어요?
가는사람 있어?.. 나 4시쯤에 갈건데,나 맨날 둔동에서 밭대로 통학함
간다고 투표는 했는데 안가두 괜찮겠죠?,응~ 너없으면 대면식 재미없어~
개설학과에서 눈 씻고 찾아봐도 안보이네,오늘 전화해봤는데 상담해봐야한대
공강날도 없는데 일주일 왜이리 빠르지?,바쁘게 살면 시간이 빨리 가..
그 다음주에 출장가셔서 휴강한다고했나?,동영상이든 보강을 잡든 하신대!
나 한것도 없는데 41개나 있어서 당황,나 4학년인데 3개있음 ㅁㅌㅊ?
디폴트매개변수 배웠는데 이거왜안되는거져,매개변수에 int n만 넣어야죠
수강신청 그냥 아무거나 때려넣어도 됨?,휴학할건데 수강신청을 왜 함??
언제부터 확인 가능? 전공이든 교양이든,계절학기 지금 시작하도 있는데?
온라인 수강신청으로는 제휴 못 받나??,나도 홍쌤 신청하려는데 궁금하다
제발 대전 거주하면 시티즌 응원합시다.,내년에 대전에서 울산볼수있다!!
제출했으면 퇴장해도 되는거지? 나왔는데,퇴장하고 제출해도 된다고 하셨어
책에서 많이 나옴 자료에서 많이 나옴?,책 ?? 쉬웠어요 생각보다 엄청
퍼센트 대로 정확히 등급 나뉘겠지..?,교수님맘임 그것도 ㅋㅋㅋㅋㅋㅋㅋ
5만원 내외정도로 이쁘고 편한거 있나??,10만원내외로 잡으면 꽤 많은뎅
3.5맞기 쉽나?,남들 공부 할때 조금 더 하면 됨
내 재수강 어떡해,3학년 할당인원은 아예 0명이니?
몇층에 있나요??,1층이요  쓸 생각안하는 게 좋음
바퀴 무조건이야?,무조건은 아닌데 가능성은 높아져요
뽀글이 패딩?.?,지금 개추운데 내일은 ㄹㅇ 얼을듯
윤 왜뽑음??ㅋㅋ,1번은 관상이 사악하게 생겼어..
있으면 어땟음??,40도에서 딸기 따다가 죽을뻔했다
존나 어렵네 ㅋㅋ,아직 시작도 못함.. 너무 어려워
파닭맛잇니????,지금 먹는중 이정도면 매우 훌륭함
대면도 오픈북이야?,ㅇㄷ) 또 비대면이면 좋겠다...
대전 날씨 어떰??,어제 한명보긴함 난 숏패딩입을거야
선형대수학 있나여?,개설강좌조회를 계절학기로바꿔서 봐
쓰면 어떨때 쓰나요,일단 난 안씀ㅋㅋㅋ 드라이기만 함
여기는 어디일까요?,그 논산에 이름 뭐여냐 호수있는데
왜 없는건데 시불탱,라때도 없었는데 지금도 없노 ㄷㄷ
응급실가고 못갔는데,빨리 교수를 찾아가는게 좋지않음?
전면 대면 아닌가?,교수마다 다른것같은데 잘 모르겠다
1인 1실이 있었음?,장애인실인지 기혼자실?인지 있을걸
5장도시험범위인가요?,5장도 시험 범위 들어가나요???
"6만원대이긴한데,,,",케이스 하나에 6만원은 너무 비싸
공부 어떻게 해여됨?,그냥 책 읽고 영어 실력을 뽐내셈
내일 수업 있나요 ?,오전 수업이면 있어요 대신 자습임
다들 공부 다한거야?,하고는 있는데 뭔 소린지 모르곘음
다른사람들은 잘되니?,기숙사 인터넷은 잘 안되는게 정상
더워서 안보이는거임?,오늘도 지나가면서 보고 도촬했는데
선비가 무슨 뜻이야?,별 거 아닌 일에 진지하다는 뜻임
시험 다들 어땠엉 ?,교수님 누구신지 물어봐도되나요??
쓰시는 법 아세요??,노란거 말하는거면 그거 고장이래요
저 졸업해야되요 제발,나 드랍할수도 계절 비대면안바뀌먄
쩝쩝 거리는 이유는?,걔내들은 자기가 쩝쩝거리는거 몰라
S8인가 1층에 있는거,3d 프린터 실습/교육할때 갔었음
교수랑 1대1 과외함?,소규모 그룹스터디되거나 폐강하거나
맞으면 펌핑 지리겠지?,난 등이랑 어깨 하고 바로 맞았음
보건소 언제까지하나요?,각 지역마다 달라융 직접 확인필요
분리수거 어디서하나요?,인재동 앞에 분리수거장 있어요!!
수요일 5시 맞나요??,수요일 5시 15분 s2 컨벤션홀
쓰읍... 좀 비싼데?,이 글 보고 공홈 갓는데 흠...
아는 사람이 없는거야?,내가보기엔 찍는애들이 옮기는거같음
쪽지좀 부탁드립니다..,그 가터벨트는 제가 보관 중입니다
첫수업이라 모르네여 ㅠ,공지 없는거보니...맞는거 같아요
친구없는데 가도 되나요,일본어과는 아니지만 가는건 자유지
평균 높게 나올거같은디,난 조졌음 헷갈린거 다 틀렸네야발
77인데 국장 못 받아?,70 이상이면 충족해서 국장 나옴
각주도 달아야 하나요??,표절률 안 높으면 뭐.. 몇펀데?
구관도 희망없는거야?ㅠㅠ,신입생이면 되기는 할걸ㅇㅅㅁ..?
기말고사 대체과제 맞음?,그런거 같던데.. 보고서 싫다..
납부완료라고 뜨신 분??,6시부터 조회 가능하다는데 뜸??
담배 어떻게 해결해..?,못 펴서 강제 금연기간이지 ㅋㅋㅋ
도서관 연락온사람..??,아직 연락못받았음?? 탈락했나보네
도와주실분 있으실까요??,저 오늘 밤샐건데 같이하실래요??
머리 띵한데 이거 맞냐?,거북목이네....스트레칭 자주해라
시험 많이 어렵나용…??,교수님이 언급하신거 잘 쓰면 A+
애플워치 스트랩도 파나?,파는데 쇠독오를거같아서 안사고싶음
어제 저녁때보다 더 많아,ㄹㅇ 일부러 5분전에 나왔는데;;
취미인사람? 뭐 치고있나,나 하이든 소나타랑 리스트 에튀드
교수님한테 이멜 보내도돼?,꽉찼으면 조교한테ㅣ 먼저 연락하셈
동아리를 잘 몰라서용 ㅠㅠ,너무 하급어그로다 익7한테 배워와
등록금 전액 반환받나???,복학하면 복한한 학기 등록금 안냄
ㅂㅅㅎ교수님 어떤가요 ??,강의계획서 읽었는데 별로라서 거름
바꾸는 법은 없나..?ㅠㅠ,정정기간에 삭제하고 다시 신청하게
버리는 사람은 없겠지..?,ㄱㄴㄲㅠ 넌 뭐 필요해? 난 문콘
아직 강의 안올려주신거지?,ㅇㅈㄱ 교수님 유체2 비대면이야?
양일 중복신청 가능하다는데,그냥 두개 다 그 날짜 선택 ㄱㄱ
저 좀 살려주새요 ㅠㅠㅠㅠ,인재동 관리실가면 빌릴 수 있어요
전여친이랑 같이 가면 돼?,ㅋㅌㅋㅌㅋㅌ 손잡고 가면 된다던데
1분 13.72 함 ㅅㅌㅊ?,이거보고ㅇ해봤는데 쉽지않네 ㅋㅋㅋ
9월 1일 이후 개강일까…?,공지 안오면 그냥 원래날짜 개강임
건환공 과사무실이 어딘가요?,건환공 홈페이지 가보면 있을걸요?
기숙사 근처에 세탁소 있어?,긱사 근처 스터디카페 건물에 있어
동영상 강의 올라와있는데?!,비대면이에여 1주차 영상에 있어여
메일보내면 전회오는거 맞음?,토요일에 보냈는데 아직 안옴 ㅠㅠ
버려지는 강의 은근 많나요?,교양한두자리정도 기대는 하지마세요
성적 바뀌는 사례가 있긴함?,있으니까 이의신청 기간이 있는거지
시험 난이도 상 중 하 ??,솔직히 어렵진 않았는데 난 망함ㅋ
왜그런사람 본적이없죠...?,쌍기를 조스로 보는 애들이 많아서
9시에 한다 했는데 했나요??,저도 못들었어요 시간 착각해서ㅠㅠ
ot하고 수업 풀강하겠지?ㅎㅎ,그렇게 안하면 한주 더 수업하겠죠
각주도 달아야하나요?아시는분ㅠ,전 작년에 들었는데 각주 달았어요
고양이 키우는 사람 있나요 ?,애완동물 가능한 자취방 찾기 힘듦
"대학 물리학 1,2 필요없나?",혹시 모르니 갖고 있는게 나을듯?
문 연다는거 지금 열고있나요?,어디 도서관이 24시간을 여나요?
병원 음성이면 음성이 맞겠지?,못믿겠음 소견서 받고 pcr ㄱㄱ
왜 안됨 막아놓은거임? ..하,skt t데이 쿠폰못쓰게 막으려고
"왜 준비 중이라고 뜨지,,,?",11시 59분까지라 시간 남았는뎁
요즘 계속터지네먼 마약국가야?,요즘은 돈 있으면 못구하는게 없음
프랑스어 ㅅㅁㅅ교수님 어땠어?,나쁘진 않았는데 범위가 좀 많았어
ㅠㅠ 뭔가 씨플 나올거같아서…,백분율 계산해서 80이상이면 받음
그냥담학기때 수강신청하면되나여?,담학기에 열리는 과목이면 ㅇㅇ..
동아리 해보신분 있으신가요???,그거 학교동아리 아니라 없을걸요?
물리2  2학기에 개설 하나요?,안할껄..?근데 계절학기는 개설함
밭대 킹성비 킹맛집이 어딘가요?,5년전에 오뚜기식당이라고 있었어요
아무것도 올라온 게 없는데...,월요일 수업이었는데 줌 하셨습니다
오늘 잠시만 발릴 수 있을까요?,리더가 되고 싶은 자 나에게로..
"옷 살때 어디서삼?온,오프 둘다",무신사 베이스로 깔고 여러 사이트
원래 이렇게 시간이 좀 걸리나?,오후까지 안되면 한번 전화드려봐!
이번에 처음 신청하는데 잘 모름,그냥 교수님하고 밥먹음 학과카드로
잃어버린사람? 관리실에 맡겨놓음,미래동 카드키 아닌가요...ㅠㅠ?
점호때 뭐라고 말해준 거 있어?,잉 걍 연락 갈때까지 기다리라던디
제가 따로 더 해야될게 있나요?,야간으로라도 수업들어도되냐고물어봐
6시 30분에 하교 버스두 해용?,임차버스 하교는 6시 20분이에요
"나,. 혼밥레벨 좀 높을지도..?",나는 많이 푸드코트에서 혼밥하는데
느려도 너무 느리네 진짜 짜증나게,너도 졸업조회 누르면 안들어가져?
등록금 어느정도는 환불 해주나요?,안해주지 않음? 지금 10주찬데?
ㅂㅅㅎ 교수니 과제 한분 있나요?,하 시팔진짜 이걸 과제라고 낸건가
왜 아직도 조회기간 아니라고 뜸?,그거 개인신상조회에서 볼 수 있음
왜 이러닝에 아무것도 안올라와있지,오늘 비대면이야?? 괜히 학교왔네
"위쪽이야?? 1~2, 13~18실",나 1-12 라인인데 햇빛 들어옴
입금명을 내이름으로만 해두면 돼?,ㄴㄴ 돈만 내면돼 명의 상관 없음
통합학사 승인됐던데… ㄱㅊ은거임?,ㅇㅇ교수가 너 답없다고 판단한거임
햇빛이라든가…. 소음… 요런 것들,인재동 방향보다 덕명중쪽이 좋아요
1학기 학점 어디서 볼 수 있나요?,통합학사나 한밭대 앱에 다 나와요
3차는 필순가? 2차면 충분하겠지?,2차 맞은지 오래되었으면 맞고 가
"6개 다 대기떴는데ㄱㅊ은거임 ,,?",6개 다 대기면 좀 에반데....
93.4인거 a쁠로 안올려주시려나?,안될껄? 나 94인데 a0임…..
ㄱㅈㅁ교수님 책 사라고 하셨나요??,ㄴㄴ 사이버한밭에 강의자료 있어요
결과 전화로 받은사람 없지? ㅠㅡㅠ,엥 왜 건축공학과로 가고싶은대??
수강신청 자리는 있을까…? ㅋㅋ..,하나 있을듯 내가 인환 버릴거라서
와이파이가 59초에 끊기는게 말임?,이건 총장님의 음모다 ㄷㄷㄷㄷㄷㄷ
요새 샌드위치 안 해?? 학생회관쪽,며칠 전에 갔을 땐 안한다고 했어
인도로 다니는 오토바이들 신고가능?,번호판찍어서 신고하면 가능하지않나
적은거야? 많은거야? 적당한거야??,난 1주년때 선물로 15정도 썼음
중간고사 목요일 2시 시작맞나요??,혹시 어디서 보는지 아시나요..?
커뮤니티실이나 체력단련실도 포함임?,엥 그런게 있움? 우리 통금생김?
하루에 평균 몇 시간 보는거 같아?,스크린타임으로 보니 한 세시간 반
3시간 이상을 6개 들어야 되는거야?,1과목당 0.5시간 이수 될걸요!
내 방만 이렇게 얼음장인거임...?ㅜ,거기 원래 좀 그래요.. ㅠㅜㅜㅠ
따른활동은 아예안함? 주로 어디로감?,그냥 수련회임 근데 이제 술을먹는
방송내용이 뭐야 뭔소리하는지 모르겠네,부정선거 냄새적발해서 파헤치고있음
수업 관련해서 따로 문자온거 있나요?,없어요! ㅇㄷㅎ교수님꺼 들으셔요?
어때 추천함? 잘하는곳알면 추천도해줭,나 속눈썹 길고 무거운데 ㅂㄹ였엉
커피같은거 들고 들어가서 마셔도 됨?,전에는가능 근데 제재하실수도이ㄸ아
70점대 나올것같은데 B는 받겠지? ㅠ,나 두개틀렷는데 에이나옴 저번학기
걍 에프맞고 재수강 할 수 있는거야??,ㅇㅇ근데 학점 깎이는거 감수해야함
고구마빵이나 감자빵 먹어본 사람????,제가 고구마빵을 먹어본 사람입니다
기업가정신과 혁신 책 구매하실건가요??,창경 교안으로만 공부 가능입니다~
답안 외워서 가야 하는 거겠제..?😢,어려워…? 나 아직 시작 안했는데
대면강의 강의실 아직 안알려주신건가요?,류근관 교수님은 비대면인데 킹근관
대면이면 노트북 가져와서 시험봐야하나?,나때는 도서관 컴퓨터실에서 봤는데
더필름 추가모집하네 들어갈까.. 어때?,싸운 후배있어서 가고 싶어도 못감
두명씩 앉아? 세명씩? 아님 다 혼자?,대면 첨이라 진짜 암것도 모르겠넹
사람 많은가요? 자리 있나요..?ㅠㅠㅠ,스마트캠퍼스앱 보면 될거같은데요!
선임이 씹덕그림 그려서주면 어떡하냐..,난 양아치보단 씹덕이 낫던데 ㅋㅋ
여자들 떠드는 소리 계속 나는데 맞아?,맞아 남자도 있어 진짜 개시끄러워
웃길려고 페미처럼 글 썼는데 선넘었나?,니 덕분에 분위기 좋아질듯 잘했다
원래 인싸들은 이런 스릴을 좋아하나요?,인싸라면 CCTV앞에서 대놓고 함
이미 한거야? 난 언제까지 기다리는거지,진작에 끝났는데 아직 안 했어??
일요일 기숙사 입실 저녁에도 가능해요?,관리실가면 열쇠 받을 수 있을지도
조건은 괜찮아보이는데 일은 어떤가요??,그 사람 체격 성격에 따라 달라요
창글 문화비평문 음악 이런걸로 해도됨?,ㅇㅇ 근데 음악 엄청 빡셀꺼같은데
혹시 짜장일번가쪽 풀하우스 어떤가요??,나 거기 살았었는데 개별로야 진짜
3%면 ㄱㅊ아 ?,ㅈㄴ 니머리로만 생각한 수준임 ㄱㅊ
7주차부터맞나요?,슈베르트 이후부터라고 하신거같은데요
검색하니 진짜있네,ㅋㅋㅋㅋ세계 3차대전 곧 일어나겠노
기사 꼭 따야함?,본인이 취업할 곳 맞춰서 준비해야지
기억나는대로 ㄱㄱ,오페라 형태 작곡가들 곡특징 같은거
낼 실강하나???,안할거같은데 시험공지는 어케 주려나
냅두면 상하나??,하루 24시간 냅두는거면 상할 수도
뭐 만드는건가여?,나도 오늘 걸어가면서 궁금했는데 ㅋ
왜 11시까지야?,불미스러운 일이 있었다고 적혀있던데
"활동 마니해,,?",방학때 몰아서 하는 랩실입니다만?~
F 원래 0점이야?,겨수님맘최소로주면 한 40 50도줌
계절학기도 끝났는뎅,계절학기+여름방학(남은 기간) 가능
너네 생각은 어때?,편입할 수 있다면 무조건 하는게좋음
오늘은 못먹겠죠?ㅠ,지금은 비 안오니까 오시지않을까요?
음료수 먹어두돼요?,ㅇㅇ 상관없긴 한데 눈치좀 보이긴함
정원은 15명 정도,참고로 주간인데 야간수업 듣는 거임
강의는 들을수있을까?,내일 못해도 한 60명 이상 나올듯
미친거같음ㅋㅋㅋ;;;,240만원이다 3끼 다먹으면 ㅋㅋㅋ
민폐겠지...? ㅠㅜ,니가 니 집에서 씻겠다는데 누가그래
새내기라 몰라여 ㅠㅠ,올 새내기인데 도서관 가네..ㅋㅋㅋ
아니... 왜...?,너..가.. 놀아재낀건 괜찮고..?
알려주나요 지금떠요?,고지서에 성적장학금 받으면 떠있어요
알수있는 방법있어??,긱사식당가서 알아보는방법외엔 없을듯
어디에서 해야하나요?,식당 들어가기전에 무인프린터기있어요
얼마인지 아는 분 ?,만원인데 문 닫았대여 코코롱 때문에
진짜로 응용 오지던데,"뒤에 서술 점수커서 다행이다..,,"
출석점수 깍이나요??,정정 이후부터 출석이 들어갑니다 !
학교근처 분식집있나?,지금은 닫음 아 근데 나도 먹고싶다
환자수만큼 돈 버나?,건당 2만원이라고 어디서 주워 들음
ox 문제 없었죠?..,나도 없었는데 밑에 애들 뭐냐..?
내일 점심 해볼까 한데,존맛 두꺼운데도 겉바속촉하게 잘만듬
너무 힘드려나...??,금공강 주말 야간2일해봣는데 할만함
룸메 구할 사람 많아?,그때룸메못구하는데? 걍 들어가는거임
비대면 수업 하는건가?,교수님이 작년 강의 계획서 올린거임
앱에서 어떻게 해야돼?,어차피 새벽에 수정될 가능성이 없다
어떻게 풀어야되나요?ㅠ,뭔 말인지 알아? 스껄? 석션 칵!
온라인으로 보는건가요?,ㄴㄴ 학교 나와야됨 ㅂㄷㅎ교수님이면
진로설계3  듣는사람?,진로설계 안열렸던데 들을수 있나요?
컴퓨터 그래픽스 어떰?,이제 안열리는거 아니였음 또열림??
타격큼 ????????,지각한 시간만큼 깍이는것도 있냐 ?
교제 어디서 가져와..?,우리과는 학과사무실인데 다 다른가?
그냥 바로 격리하고싶은데,피씨알받고 격리하면 지원금주지않나?
나만 강의실 안나와있음?,강의실은 통합학사에서 보신 건가요?
빡셌음 ? 낼은 어떠려나,ㅇㅇ그냥 과목 다 꽉 참 ㅋㅋㅋㅋㅋ
서술형쓰기 빡센가요..?,강의만 잘 들었다면 100점 쌉가능
아직 공지 안뜬거 맞지?,ㅇㅇ 학교에서 하는 교내근로일때 뜸
어디서 볼수있나요...?,관심과목 오른쪽으로 쭉 가면 있어여
어떰? 대학교랑 비슷함?,교수 잡일 대학원생이 한다고 보면됨
여름에  짧은거? 긴거?,난긴거좋아하지만 땀나면 스트레스..
온 사람 있어? 발열말고,나 온적 있어 분위 높아서 못했지만
이번학기도 거리순임???,거리가 가장 클걸 정확한건 전화해봐
점수 다들 잘 받았어요?,시험 다보고 과제 영상 다해서 비플
패딩입을 정도까진 아님?,맨투맨 하나만 입어도 별로 안춥더라
한 8시쯤 오겟지????,내가 듣기로는 프미나 9시라 들었어
2학기때 미적 두개해야됨?,하나 듣고 겨울 계절때 들어도 되지
5시 30분에 발표나올듯?,공부안하고 나도 이거 보는중 ㅋㅋㅋ
누구한테 연락해서 해야돼?,엘베앞에 써있잖아 관생지도사 연락처
다시 들으면 유닛 줘???,중복되서 못 받은 거 말하는건가요?
사물함 신청 해야댐 ???,신청받아? 문자온거 따로 없던데ㅠㅠ
애송이는 이래서 안된다니까,아ㅋㅋㅋ 내일 화이트데이인데 설마?
어떤 앱을 써야 하나요??,굿노트로 필기해서 pdf로 저장해요
오늘 강의 왜 안 올라왔지,가끔 이래 저녁이나 낼이나 올라올듯
일찍 끝내 주시겠죠...?,적어도 3시전에는 끝내주시겠죠..?
제복입은사람들 많다 머싯서,다 악의 구렁텅이에 빠진 사람들이야
중간고사 안보러가도 되지?,교수님한테 메일 안 보내고 그냥함?
첫주 조 편성했다는데 ㅋㅋ,교수님한테말하고 2주차에껴달라고하셈
검은 빨래 흰 빨래 해가지고,내 돈 내고 하는데 무슨 상관 ㄱㄱ
너넨 같이 돌리니? 고민되네,군대에선 팬티양말까지 걍 같이 돌림
대면인가요 비대면인가요 ??,그니까요 대면인가요 비대면인가요 ㅠ
들어가고 싶은데 너무 늦었나,안돼 경력 5년이상 아니면 돌아가!
뭔 수업이 뜰 지는 몰라??,아마두.. 교양만 조금 열어줄걸??
민트초코 그거 치약 왜먹음?,그거 깜빡하고 양치 안해서 먹는거임
분위기 잘띄우는 사람 어떰?,술자리에서 아예 안마시면 별로긴하지
소수과이긴한데 안해도되겠지?,하고싶으면 하고 하기싫으면 하지말고
알려주시면 감사하겠습니다 ㅜ,그 교수님은 오티때도 수업하신답니다
오늘 순대 왓나용??????,순대 개강할때까지 안오는 것 같던데
"중간 이후 대면 ""진행시켜""",ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짤 뭔데 ㅋㅋㅋㅋ
진짜 뿌셔뿌셔 티코차인가요?,뿌리는 기프티콘 뭐 그런건가..??
책들고 다니는거 너무 힘든데,건축공학과는 사용가능하다고 하던데여
쿠팡에서 옷 사는사람 있어?,옛날에 한번 사봤는데 개별로 사지마
혹시 버리시는 분도 있나요?,주워야 뎌요 재수강 해야 해서...
24년도신입생부터 충대생아님?,그냥 사회 나가서 충남대도르 씹가능
2학년때 들을 수 있나요..?,들을 수는 있겠지만 듣기는 어렵겠죠
9.2 패치 다들 재미나지요?,그런게임 하는 동년배들 없습니다~~
계속 비대면으로 하는거야???,교수님이 수업에 관한 언급 있었어?
나만 점수 안올라온거 아니지?,내일 되면 다 올라옵니다 걱정 ㄴㄴ
상하차할때 막 집어 던지나??,일단 그게 컴퓨터 부품인줄 모를걸?
수강신청하는날에 자리 남지??,어떤 과목 어떤 교수냐에 따라 다름
있나욤? 오티때 풀강하시나오?,그거 대면때 들은사람은 이미 졸업함
프린터 돼요? 점심에 안되던데,그냥 프린트카페 갔다옴요 저는..ㅜ
머리 하러갈건데 차이가 뭐야…?,디자이너한테 물어봐 그거만한게 없음
시원한 곳 위치점 알려주세요 ㅠ,4층은 5-6웡 기준 좀 더웟슴 ㅠ
줌 링크 올라왔는데 비대면임…?,ㄱㄱㅅ 교수님?? 나도 궁금해 ㅜㅜ
지하철 타면 많이 민폐인가요…?,냄세 많이 나면 좀 그렇긴 할듯ㅋㅋ
다중심화전공 신청하고 가야되나여?,미리 해도 되고 나중에 해도 돼요!
단원끝날때마다 시험보는거 있었니?,있어 저번주에 안했으면 요번주에 해
매치포인트나 테니스 지금 활동함?,나도 매치포인트 궁금함 사람 안뽑나
밤에도 임차버스 운영하나요????,시험기간은 11시인지 12시인지..
선배님들 이전 축제들은 어땠나요?,옛날에 오티때 레드벨뱃 한번 왔었음
수강신청할때 어떻게하는거에요?..,한학기 날렷다 생각하면서 신청하면됨
여미새는 많은데 왜 남미새는없어?,20대 연애에서 여자가 훨씬 유리함
윤석열 뽑은 뭔가 장점이 있어??,니처럼 지능이 안낮고 그지가아니라서
전공은 계절학기에 안 열리지..?,네 현장실습같은거빼고는 거의안열려요
진짜 기억이 하나도 안나는데 ㅋㅋ,2년을 ㅈ뺑이쳤는데 기억날리가 ㅋㅋ
진짜 욕밖에 안 나오는데 어쩌지?,철회하려다 안했는데 진심으로 후회중
찾아도 안보이던데 어디서 확인함?,1인실 아니고 2인실방 혼자쓰는거임
기말때 성적 비슷하게 받으면 가능?,주변에서 13 17 정도로 들리던데
다들 중간고사 성적 어떻게 나왔어?,나도 궁금 어느정도 나와야 잘본걸까
먹는곳은 아는데 어디서 결제하나요?,먹는곳 있는 카운터에서 하심 돼요!
원래 열자마자 주문하면 주문취소함?,걍 장사준비한다고 가게에서ㅠ안받은고
주름 있든 없든 사용해도 무방한가?,어차피 주름개선 효과 ㅈ도 없는거임
기숙사 올 1학기도 2인실 혼자쓰나?,작년 여름학기부터 2인실 2명이었음
난방 언제 켜줌?ㄹㅇ 얼어뒤질거같은데,ㄹㅇ 밥 정도는 따뜻하게 먹고싶은데
다 한 사람? 기간 얼마나 걸렸어??,주제랑 수시 둘다 26일까지 맞지?
막 서버터지고 금방 바닥나고 이럼??,의외로 그정돔 아니었어 살짝느린정도
무슨 진로설계에 인원제한이 있지???,내말이... 2학기때 넣어야할듯..
뭔 늑대무리가 되있냐... 너무무섭다,사진올려주세요 옛날사진도 있음 같이
집에서 성적표 인쇄하는 방법 없나요?,1000원인가 내고 뽑을 수 있어요
혹시 집 꾸미는거 도와주실분 있나요?,위험하게 모르는 사람을 집에 왜들여
공기업3급 요구하던데 기업마다다른가요?,? 공기업 못해도 2급 요구할 걸?
과제 하나 제출 못 해도 괜찮음??ㅠㅠ,나 2번인가 제출못했는데 P 주더라
교재필요한가?? 정정기간에 들어와서 ㅜ,너무 별로라서 내가 떨굼 수업 ㅋㅋ
백신패스 없어도 테이크아웃은 가능하지?,No vaccine no entry
사이트에 나오는것처럼 양많고 맛있나요?,자기가 먹고싶은만큼 퍼서 먹는 거임
쓰는 사람 있어? 어때? 배터리같은거!,나 울트라써! 아주조아 진짜 오래가
추석엔 휴강아냐?이거들어야대는건가...,휴강하면 보강해야되서 종강이 늦어짐
1학기때 1 들어서 2 들으려하는데...,지금은 모르겠는데 예전엔 할만했어요
2지망 쓴 스위스라도 갈 사람 있어???,하 근데 스위스 조건이 너무 ..ㅠ
괜찮은거 맞아 ?,밖과 안의온도차로인해 생긴 수증기란다
내일은 괜찮겠지?,지금 오류뜬거임? 강의 앖다고 뜨는거
다들 책사서 해?,전 어플로해서 합격햇는데 어플 ㄱ ㄱ
따로 돈 내야함?,보통 테이블 별로 n분에 1하지 않나
많이 시끄러울려나,협의 해봐 그 친구는 청축일수도 있어
몇 시에 열어요?,8시20분쯤에 가봤는데 열긴열더라구요
알바하기에 어떰?,내가 자주감잘생긴 사람 보면 인사해줘
액상 전담 어떰?,좋긴한데 액상이 마음에 안들면 별로야
어디쪽에 있나요?,식당 건물에 KB은행 맞은편에 있어요
얼마나 힘들어??,3.7에서 3.1로 떨어짐ㅋㅋㅋㅋㅋ썅
오늘 손님많나요?,서래 물어보더니 이번엔 한밭뒷고기야?
오늘은 괜찮음??,엉?? 난 학교 갈 때마다 괜찮았는데
이거팩트냐? ㄷㄷ,신세계 짓는것도 광주 시민들이 반대함
몇 시부터 기다림?,맨앞라인은 5시반부터섰어도 됫겟음..
반팔은 좀 그런가?,9도여서 겉옷입었다가 뒤지는줄 알았다
복학했는데 궁금하누,문화체육관 휘트니스센터가 학교헬스장?
언젠가요 슨배님들?,님 마지막 시험 끝나는 날이 종강이죠
오늘 수업 없나요?,예 없다고 강의실 칠판에 써 있었어요
월세35정도던데..,35면  밭대 근처에서 최고가수준인데
위드코로나니까..?,5000은 넘어야 위험하다고 생각할듯
A0나 B+ 나오나?,지금까지 글보면 50이면 A+ 각인데
밑에 누가 찍어달래서,졸작은 아니고 3학년들 프로젝트 전시
알바생은 못신청하나?,소득으로 인정되어야한다는데 물어봐야함
재료역학 문자가 없넹,그러게 아직 없으면 비대면아닐까..?
정정으로 둘어왔어ㅠㅠ,별 거 옶었음 강의 자료는 올려주신대
하는 법 아시는 분?,난 보풀제거기로 윙윙하는데 성능확실함
3학년되면 힘들려나??,난3학년인데 전공2개 교양3개 듣는데
과제같은거는 다 했는데,손으로 적어보셈 손으로 적는거는 다름
다들 공부 어떻게 함?,전공하느라 걍 훑어보기만 함ㅠ 너는?
무신사에서 구매할 예정,구매 많이 한 거 사면 중박은 치더라
